"Categoría";"Subcategoría";"Fecha";"Detalle";Importe
"Ocio";"Paseos";"2025-11-30";"Regular coc x13";75000,00
"Transporte";"Combustible";"2025-12-06";"AXION - 1650 xL";53010,00
"Ocio";"Restaurantes";"2025-12-07";"Juntada Sicardi";12000,00
"Ocio";"O - Otros";"2025-12-07";"Chango mas";30130,00
"Salud";"Farmacia";"2025-12-10";"Miopropan, ibu";35000,00
"Seguros";"Vehículo";"2025-12-10";"Seguro";74215,00
"Gastos_Fijos";"Celular";"2025-12-11";"Celular Movistar";10410,00
"Transporte";"Combustible";"2025-12-13";"AXION - 1650 xL";40000,00
"Salud";"Cuidado Personal";"2025-12-14";"Ropa agape";270000,00
"Ocio";"O - Otros";"2025-12-14";"Medialunas Atalaya 1 docena";14000,00
"Ocio";"Restaurantes";"2025-12-07";"Juntada";8400,00
"Ocio";"O - Otros";"2025-12-15";"regalo sabri";29000,00
"Ocio";"O - Otros";"2025-12-15";"rappi pro";9000,00
"Ocio";"O - Otros";"2025-12-15";"Spotify";8300,00
"Salud";"Cuidado Personal";"2025-12-17";"dentita";40000,00
"Ocio";"O - Otros";"2025-12-21";"Chango mas";23789,25
"Ocio";"Restaurantes";"2025-12-07";"cumpleaños paula";19000,00
"Transporte";"Combustible";"2025-12-23";"AXION - 1680 xL";64000,00
"Ocio";"O - Otros";"2025-12-25";"regalo luna";50000,00
"Ocio";"O - Otros";"2025-12-25";"regalo sabri juego";12750,00
"Ocio";"O - Otros";"2025-12-28";"Regalo Juan";22000,00
"Ocio";"O - Otros";"2025-12-28";"";2790,00
"Ocio";"O - Otros";"2025-12-28";"Burguer mac";17600,00
"Salud";"Sa - Otros";"2025-12-28";"Veterinario";85000,00
"Ocio";"O - Otros";"2025-12-31";"Joda año nuevo";24200,00
"Salud";"Farmacia";"2025-12-31";"";79000,00
"Ocio";"O - Otros";"2026-01-03";"Juntada";18900,00
"Supermercado";"Almacén";"2026-01-03";"chango mas";19000,00
"Transporte";"Combustible";"2026-01-05";"Nafta axion 1680 x lt";66000,00
"Supermercado";"Verdulería";"2026-01-06";"Verduleria papa";3700,00
"Supermercado";"Carnicería";"2026-01-06";"bifes de aguja";16150,00
"Seguros";"Vehículo";"2026-01-07";"Seguro auto";74215,00
"Supermercado";"Almacén";"2026-01-10";"chango mas , comida y golo";40466,00
"Supermercado";"Almacén";"2026-01-11";"chino, carbon?";9300,00
"Ocio";"Restaurantes";"2026-01-12";"Juntada";28300,00
"Gastos_Fijos";"G - Otros";"2026-01-14";"spotify";8300,00
"Gastos_Fijos";"G - Otros";"2026-01-14";"rappi";9000,00
"Transporte";"Combustible";"2026-01-15";"axion";66000,00
"Ocio";"Restaurantes";"2026-01-16";"juntada part 1 laburo";7850,00
"Ocio";"Restaurantes";"2026-01-16";"juntada part 2 laburo";15000,00
"Supermercado";"G - Otros";"2026-01-18";"chango mas";26100,00
"Vivienda";"V - Otros";"2026-01-19";"agenda";2500,00
"Gastos_Fijos";"Celular";"2026-01-19";"spotify";8300,00
"Supermercado";"Carnicería";"2026-01-22";"menudos 3kg";4500,00
"Supermercado";"G - Otros";"2026-01-24";"chango mas";20945,00
"Transporte";"Combustible";"2026-01-26";"axion";61500,00
